Title,Date1,URL,Source link from Dan,Series,@Qrfile,
First Amendment,1791,http://g.cca.li/1000,http://www.law.cornell.edu/constitution/first_amendment,1000,httpgccali1000.jpg,
Second Amendment,1791,http://g.cca.li/1001,http://www.law.cornell.edu/constitution/second_amendment,1001,httpgccali1001.jpg,
Third Amendment,1791,http://g.cca.li/1002,http://www.law.cornell.edu/constitution/third_amendment,1002,httpgccali1002.jpg,
Fourth Amendment,1791,http://g.cca.li/1003,http://www.law.cornell.edu/constitution/fourth_amendment,1003,httpgccali1003.jpg,
Fifth Amendment,1791,http://g.cca.li/1004,http://www.law.cornell.edu/constitution/fifth_amendment,1004,httpgccali1004.jpg,
Sixth Amendment,1791,http://g.cca.li/1005,http://www.law.cornell.edu/constitution/sixth_amendment,1005,httpgccali1005.jpg,
Seventh Amendment,1791,http://g.cca.li/1006,http://www.law.cornell.edu/constitution/seventh_amendment,1006,httpgccali1006.jpg,
Eighth Amendment,1791,http://g.cca.li/1007,http://www.law.cornell.edu/constitution/eighth_amendment,1007,httpgccali1007.jpg,
Ninth Amendment,1791,http://g.cca.li/1008,http://www.law.cornell.edu/constitution/ninth_amendment,1008,httpgccali1008.jpg,
Tenth Amendment,1791,http://g.cca.li/1009,http://www.law.cornell.edu/constitution/tenth_amendment,1009,httpgccali1009.jpg,
Eleventh Amendment,1795,http://g.cca.li/1010,http://www.law.cornell.edu/constitution/amendmentxi,1010,httpgccali1010.jpg,
Twelfth Amendment,1804,http://g.cca.li/1011,http://www.law.cornell.edu/constitution/amendmentxii,1011,httpgccali1011.jpg,
Thirteenth Amendment,1865,http://g.cca.li/1012,http://www.law.cornell.edu/constitution/amendmentxiii,1012,httpgccali1012.jpg,
Fourteenth Amendment,1868,http://g.cca.li/1013,http://www.law.cornell.edu/constitution/amendmentxiv,1013,httpgccali1013.jpg,
Fifteenth Amendment,1870,http://g.cca.li/1014,http://www.law.cornell.edu/constitution/amendmentxv,1014,httpgccali1014.jpg,
Seventeenth Amendment,1913,http://g.cca.li/1015,http://www.law.cornell.edu/constitution/amendmentxvii,1015,httpgccali1015.jpg,Out of sequence
Sixteenth Amendment,1913,http://g.cca.li/1016,http://www.law.cornell.edu/constitution/amendmentxvi,1016,httpgccali1016.jpg,Out of sequence
Eighteenth Amendment,1920,http://g.cca.li/1017,http://www.law.cornell.edu/constitution/amendmentxviii,1017,httpgccali1017.jpg,
Nineteenth Amendment,1920,http://g.cca.li/1018,http://www.law.cornell.edu/constitution/amendmentxix,1018,httpgccali1018.jpg,
Twentieth Amendment,1933,http://g.cca.li/1019,http://www.law.cornell.edu/constitution/amendmentxx,1019,httpgccali1019.jpg,
Twenty-First Amendment,1933,http://g.cca.li/1020,http://www.law.cornell.edu/constitution/amendmentxxi,1020,httpgccali1020.jpg,
Twenty-Second Amendment,1951,http://g.cca.li/1021,http://www.law.cornell.edu/constitution/amendmentxxii,1021,httpgccali1021.jpg,
Twenty-Third Amendment,1961,http://g.cca.li/1022,http://www.law.cornell.edu/constitution/amendmentxxiii,1022,httpgccali1022.jpg,
Twenty-Fourth Amendment,1964,http://g.cca.li/1023,http://www.law.cornell.edu/constitution/amendmentxxiv,1023,httpgccali1023.jpg,
Twenty-Fifth Amendment,1967,http://g.cca.li/1024,http://www.law.cornell.edu/constitution/amendmentxxv,1024,httpgccali1024.jpg,
Twenty-Sixth Amendment,1971,http://g.cca.li/1025,http://www.law.cornell.edu/constitution/amendmentxxvi,1025,httpgccali1025.jpg,
Twenty-Seventh Amendment,1992,http://g.cca.li/1026,http://www.law.cornell.edu/constitution/amendmentxxvii,1026,httpgccali1026.jpg,
