"ID","Title","Series","Text","Date1","Date2","Appt Pres","Case1","Case2","Case3","Citation"
1000,"First Amendment","Amendment","Protects freedom of speech, free exercise of religion, freedom to peaceable assembly, right to petition the government, and restricts the government from establishing a religion","1791",,,,,,
1001,"Second Amendment","Amendment","Protects the right to keep and bear arms","1791",,,,,,
1002,"Third Amendment","Amendment","Prevents the quartering of soldiers in private residences","1791",,,,,,
1003,"Fourth Amendment","Amendment","Protects against unlawful search and seizure without a warrant","1791",,,,,,
1004,"Fifth Amendment","Amendment","Part of the Bill of Rights, the 5th Amendment ensures the need for an indictment and due process, and protects against double jeopardy, self-incrimination, and takings of property without just compensation.","1791",,,,,,
1005,"Sixth Amendment","Amendment","Part of the Bill of Rights, the 6th Amendment guarantees to criminal defendants the right to a speedy and public trial; an impartial, local jury; the right to confront, and to compel the appearance of witnesses; and the assistance of counsel.","1791",,,,,,
1006,"Seventh Amendment","Amendment","Part of the Bill of Rights, the 7th Amendment guarantees the right to a jury trial in most civil cases.","1791",,,,,,
1007,"Eighth Amendment","Amendment","Establishes the prohibition on excessive fines and bail, as well as the prohibition of cruel and unusual punishment.","1791",,,,,,
1008,"Ninth Amendment","Amendment","Though little relied upon by the Supreme Court, the 9th Amendment guarantees that the rights of the people of the United States are not limited to those specifically enumerated in the Constitution.","1791",,,,,,
1009,"Tenth Amendment","Amendment","Part of the Bill of Rights, but little relied upon, the 10th Amendment guarantees that all powers not given to the federal government, and not denied to the states, are retained by the states or the people.","1791",,,,,,
1010,"Eleventh Amendment","Amendment","The Eleventh Amendment was ratified in order to boost the sovereign immunity of the states from suit in federal courts, in response to the Supreme Court's decision in Chisholm v. Georgia.","1795",,,,,,
1011,"Twelfth Amendment","Amendment","The 12th Amendment changed the voting structure of the Electoral College; instead of casting 2 votes for president (with the second-highest vote getter becoming VP), the electors would now cast a distinct vote for president and a distinct vote for vice-president.","1804",,,,,,
1012,"Thirteenth Amendment","Amendment","Abolished slavery and involuntary servitude other than for punishment for a crime.","1865",,,,,,
1013,"Fourteenth Amendment","Amendment","One of the Reconstruction Amendments, the 14th established birthright citizenship, repealed the Constitution's 3/5ths apportionment for slaves, and, most importantly, granted board enforcement powers under Section 5 to Congress, allowing Congress in some cases to abrogate state sovereign immunity.","1868",,,,,,
1014,"Fifteenth Amendment","Amendment","One of the Reconstruction Amendments, the 15th Amendment prohibits the states from denying the right to vote on the basis of ""race, color, or previous condition of servitude.""","1870",,,,,,
1015,"Seventeenth Amendment","Amendment","The 17th Amendment changed the election of senators, shifting the vote from state legislatures to direct popular vote by state citizens, as with representatives. It also allows for temporary appointments to fill vacancies until the holding of a special election.","1913",,,,,,
1016,"Sixteenth Amendment","Amendment","Essentially overruling Pollock v. Farmers' Loan & Trust Co., the 16th Amendment gives Congress the power to levy income taxes.","1913",,,,,,
1017,"Eighteenth Amendment","Amendment","The Eighteenth Amendment established Prohibition, effectively outlawing the production and sale of alcoholic beverages in the U.S.","1920",,,,,,
1018,"Nineteenth Amendment","Amendment","The 19th Amendment extended the right to vote to women.","1920",,,,,,
1019,"Twentieth Amendment","Amendment","The 20th Amendment established January 20th as Inauguration Day, January 3rd as the day the new Congress convenes, and governs the situation where there is no President-elect.","1933",,,,,,
1020,"Twenty-First Amendment","Amendment","The 21st Amendment repealed the 18th Amendment, ending Prohibition.","1933",,,,,,
1021,"Twenty-Second Amendment","Amendment","The 22nd Amendment imposes term limits on the office of the president.","1951",,,,,,
1022,"Twenty-Third Amendment","Amendment","The 23rd Amendment provides 3 electoral votes to the District of Columbia and the right of D.C. citizens to vote for presidential electors.","1961",,,,,,
1023,"Twenty-Fourth Amendment","Amendment","The 24th Amendment outlawed the use of the poll tax to exclude voters from federal elections, widely used in the South to deny the franchise to black voters.","1964",,,,,,
1024,"Twenty-Fifth Amendment","Amendment","The 25th Amendment clarifies the succession of the vice-president to the presidency upon the death or disability of the president, as well as the process for determining whether a disability exists.","1967",,,,,,
